jtid,jobid,submitTime,launchTime,finishTime,status,numMaps,numReduces,finMaps,finReduces,failMaps,failReduces
201104271902,1,1304270359894,1304270368154,1304271215014,0,1090,0,1090,0,526,0
201104271902,2,1304285654256,1304285662772,1304285719837,0,1217,1,1217,1,0,0
201104271902,3,1304285776988,1304285783358,1304285841221,0,1217,1,1217,1,0,0
201104271902,4,1304285884082,1304285888882,1304285985506,0,1217,1,1217,1,0,0
201104271902,5,1304286042466,1304286044480,1304286155286,0,1217,1,1217,1,2,0
201104271902,6,1304286093547,1304286100019,1304286145064,1,1043,1,0,0,0,0
201104271902,7,1304286200341,1304286205558,1304286266789,0,1217,1,1217,1,0,0
201104271902,8,1304286301754,1304286306129,1304286383514,0,1217,1,1217,1,1,0
201104271902,9,1304286425506,1304286431781,1304286488132,0,1217,1,1217,1,0,0
201104271902,10,1304286552750,1304286562444,1304286623732,0,1217,1,1217,1,0,0
201104271902,11,1304286655669,1304286663092,1304286716813,0,1217,1,1217,1,0,0
201104271902,12,1304286751456,1304286753799,1304286808977,0,1217,1,1217,1,0,0
201104271902,13,1304286845074,1304286849515,1304286905294,0,1217,1,1217,1,0,0
201104271902,14,1304286935571,1304286940246,1304286995398,0,1217,1,1217,1,0,0
201104271902,15,1304287054729,1304287060923,1304287113365,0,1217,1,1217,1,0,0
201104271902,16,1304287154285,1304287161667,1304287223532,0,1217,1,1217,1,0,0
201104271902,17,1304287267085,1304287272433,1304287325748,0,1217,1,1217,1,0,0
201104271902,18,1304287369379,1304287378165,1304287430960,0,1217,1,1217,1,0,0
201104271902,19,1304287488874,1304287493935,1304287545220,0,1217,1,1217,1,0,0
201104271902,20,1304287577008,1304287579724,1304287632375,0,1217,1,1217,1,0,0
201104271902,21,1304287689689,1304287695631,1304287762419,0,1217,1,1217,1,0,0
201104271902,22,1304287832704,1304287841406,1304287893899,0,1217,1,1217,1,0,0
201104271902,23,1304287924424,1304287932220,1304287989987,0,1217,1,1217,1,0,0
