doc_id,term_id,frequency
3455_txt_crude,nation,1
18389_txt_crude,resume,1
8691_txt_acq,originally,1
11_txt_earn,2992,1
18138_txt_acq,1,1
3111_txt_interest,bond,2
4465_txt_acq,requested,1
12258_txt_earn,current,1
12919_txt_interest,reuter,1
4689_txt_crude,58000,1
10156_txt_interest,week,3
16458_txt_earn,reuter,1
13280_txt_crude,new,1
8992_txt_earn,march,1
12457_txt_trade,charges,1
3303_txt_crude,2195,3
5750_txt_acq,twa,10
17186_txt_trade,said,4
8198_txt_trade,goal,1
2802_txt_acq,also,1
5708_txt_acq,new,1
5299_txt_acq,one,2
11149_txt_crude,dependence,2
13045_txt_trade,face,1
10462_txt_acq,holds,1
4900_txt_earn,10,1
16492_txt_earn,note,1
12305_txt_acq,salomon,1
16088_txt_trade,week,1
12305_txt_acq,april,1
6922_txt_interest,refunding,1
2342_txt_earn,308,1
11831_txt_interest,annual,2
5125_txt_crude,dlr,1
20973_txt_earn,mths,2
8972_txt_earn,hartford,1
16278_txt_earn,review,1
7570_txt_acq,call,1
3192_txt_interest,1959,1
17948_txt_trade,european,1
8666_txt_acq,analyst,1
8349_txt_earn,goldman,1
6922_txt_interest,prices,1
16163_txt_acq,firm,2
8999_txt_earn,loss,8
12286_txt_crude,changed,1
18549_txt_interest,lowers,1
12609_txt_crude,imposing,1
10355_txt_trade,microchips,1
10870_txt_earn,cognitronics,1
11220_txt_earn,unit,1
3455_txt_crude,issues,1
10455_txt_trade,new,3
20396_txt_acq,decision,1
4127_txt_acq,accept,1
11287_txt_trade,available,1
19744_txt_acq,privatelyheld,1
4067_txt_earn,reserves,1
8023_txt_acq,acquires,1
3884_txt_earn,march,2
4983_txt_crude,transport,1
16935_txt_trade,tariffs,2
4067_txt_earn,return,1
8186_txt_trade,healthy,1
21228_txt_acq,3878700,1
11837_txt_acq,unit,3
13266_txt_crude,first,4
5731_txt_earn,qtr,1
12848_txt_trade,bond,1
16297_txt_earn,three,1
543_txt_crude,eastern,1
4174_txt_crude,move,2
18138_txt_acq,reliance,1
20632_txt_crude,also,2
10623_txt_trade,retaliation,1
11225_txt_trade,set,1
12592_txt_interest,new,1
918_txt_crude,seminar,1
10905_txt_trade,west,2
4067_txt_earn,income,1
20797_txt_acq,reason,1
8944_txt_acq,shares,1
502_txt_crude,overseas,1
10779_txt_trade,chips,3
9246_txt_acq,reported,1
20159_txt_interest,calm,1
13649_txt_trade,tokyo,2
8160_txt_crude,two,1
18955_txt_earn,split,1
17365_txt_crude,developments,1
144_txt_crude,major,1
237_txt_crude,say,2
12389_txt_earn,record,1
9155_txt_crude,mobil,1
18096_txt_earn,171,1
17957_txt_acq,share,1
331_txt_acq,valued,1
8349_txt_earn,234,1
8880_txt_acq,services,1
9532_txt_trade,others,1
6177_txt_crude,nonopec,2
18448_txt_crude,leadership,2
16487_txt_earn,whollyowned,1
4692_txt_earn,returned,1
6060_txt_crude,highest,1
5309_txt_acq,limited,1
3302_txt_acq,ltd,2
8991_txt_interest,senior,1
17274_txt_trade,pact,1
13095_txt_acq,resume,1
9795_txt_trade,trade,1
2807_txt_earn,reuter,1
12717_txt_acq,april,1
8186_txt_trade,set,2
4156_txt_trade,highly,1
372_txt_acq,owned,1
797_txt_acq,packaging,1
8480_txt_earn,diversified,1
17274_txt_trade,hopes,2
20632_txt_crude,willing,2
1836_txt_acq,midwest,1
5692_txt_trade,225,1
5376_txt_trade,work,1
5643_txt_acq,fourth,2
10371_txt_acq,said,2
17250_txt_acq,joint,1
17199_txt_crude,levels,1
20095_txt_crude,aware,2
12862_txt_earn,april,1
21568_txt_crude,project,1
2064_txt_interest,will,4
8478_txt_crude,development,1
20038_txt_interest,consider,1
924_txt_trade,bank,2
17023_txt_trade,2207,1
12602_txt_trade,us,13
110_txt_acq,management,1
17452_txt_trade,flow,1
7733_txt_acq,separation,1
202_txt_earn,feb,1
17256_txt_trade,seven,1
1306_txt_crude,market,4
19291_txt_crude,facility,2
5376_txt_trade,marlin,1
11555_txt_trade,unfounded,1
17813_txt_crude,york,1
8553_txt_crude,year,3
12040_txt_interest,pct,8
3918_txt_acq,operation,1
