1,Luxembourg,78409
2,Qatar,78260
3,Norway,51985
4,Singapore,50180
5,Brunei,47930
6,United States,45934
6,Hong Kong,42653
7,Switzerland,40484
8,Netherlands,39877
9,Ireland,38685
10,Australia,38663
11,Austria,38567
12,Canada,37947
13,Iceland,37853
14,Kuwait,37849
15,United Arab Emirates,36843
16,Sweden,35951
17,Denmark,35828
18,Belgium,35534
19,United Kingdom,34388
20,Germany,34388
21,Finland,33445
22,France,33434
23,Japan,32554
24,Taiwan,31776
25,Greece,29839
26,Spain,29625
27,Italy,29068
28,Israel,28581
29,Cyprus,28504
30,South Korea,27938
31,Slovenia,27470
32,Bahrain,27214
33,New Zealand,26670
34,Bahamas,25807
35,Oman,25635
36,Czech Republic,24271
37,Seychelles,23744
38,Malta,23667
39,Saudi Arabia,23272
40,Portugal,22671
41,Barbados,22272
42,Slovakia,21245
43,Trinidad and Tobago,19759
44,Equatorial Guinea,18573
45,Hungary,18506
46,Poland,18050
47,Croatia,17707
48,Estonia,17695
49,Antigua and Barbuda,17308
50,Lithuania,16529
51,Russia,14913
52,Argentina,14525
53,Botswana,14321
54,Chile,14316
55,Gabon,14297
56,Latvia,14291
57,Lebanon,14268
58,Malaysia,13800
59,Mexico,13609
60,Libya,13599
61,Saint Kitts and Nevis,13316
62,Uruguay,13144
63,Belarus,12750
64,Mauritius,12737
65,Turkey,12466
66,Venezuela,12184
67,Bulgaria,11883
68,Romania,11869
69,Panama,11776
70,Kazakhstan,11679
71,Iran,10939
72,Grenada,10697
73,Serbia,10577
74,Costa Rica,10564
75,Montenegro,10528
76,Brazil,10499
77,South Africa,10229
78,Dominica,10218
79,Saint Lucia,10163
80,Saint Vincent and the Grenadines,10127
81,Azerbaijan,9540
82,Macedonia,9183
83,Tunisia,9154
84,Colombia,9046
85,Jamaica,8804
86,Suriname,8630
87,Peru,8626
88,Dominican Republic,8269
89,Thailand,8051
90,Belize,7841
91,Ecuador,7765
92,Bosnia and Herzegovina,7634
93,El Salvador,7355
94,Albania,7169
95,Tonga,7061
96,Algeria,6885
97,China,6778
98,Guyana,6658
99,Namibia,6653
100,Ukraine,6330
101,Angola,6181
102,Egypt,6114
103,Turkmenistan,6077
104,Kiribati,6049
105,Samoa,5774
106,Swaziland,5743
107,Jordan,5548
108,Maldives,5346
109,Bhutan,5212
110,Armenia,4983
111,Syria,4939
112,Guatemala,4831
113,Sri Lanka,4764
114,Georgia,4754
115,Vanuatu,4751
116,Morocco,4587
117,Paraguay,4560
118,Bolivia,4451
119,Fiji,4366
120,Honduras,4344
121,Indonesia,4151
122,Congo,4136
123,Iraq,3565
124,Philippines,3516
125,Mongolia,3456
126,Cape Verde,3455
127,India,3015
128,Vietnam,2942
129,Solomon Islands,2923
130,Nicaragua,2892
131,Moldova,2839
132,Uzbekistan,2808
133,Pakistan,2683
134,Timor-Leste,2522
135,Djibouti,2482
136,Yemen,2454
137,Sudan,2377
138,Kosovo,2314
139,Laos,2286
140,Nigeria,2274
141,Kyrgyzstan,2250
142,Papua New Guinea,2167
143,Cameroon,2144
144,Mauritania,2035
145,Cambodia,1993
146,Gambia,1911
147,Tajikistan,1827
148,São Tomé and Príncipe,1812
149,Senegal,1770
150,Kenya,1728
151,Côte d'Ivoire,1672
152,Chad,1610
153,Ghana,1558
154,Zambia,1539
155,Bangladesh,1487
156,Benin,1440
157,Tanzania,1421
158,Burkina Faso,1303
159,Nepal,1215
160,Uganda,1210
161,Lesotho,1210
162,Haiti,1207
163,Burma,1197
164,Comoros,1166
165,Mali,1164
166,Rwanda,1155
167,Guinea-Bissau,1067
168,Guinea,1042
169,Ethiopia,953
170,Madagascar,945
171,Afghanistan,934
172,Mozambique,933
173,Malawi,867
174,Togo,834
175,Sierra Leone,782
176,Central African Republic,744
177,Niger,712
178,Eritrea,679
179,Burundi,400
180,Liberia,385
181,Zimbabwe,370
182,Dem. Rep. of Congo,330
